network,geoname_id,registered_country_geoname_id,represented_country_geoname_id,is_anonymous_proxy,is_satellite_provider
2a06:7500::/29,2921044,2921044,,0,0
2a06:7540::/29,2510769,2510769,,0,0
2a06:7580::/29,2635167,2635167,,0,0
2a06:75c0::/29,798549,798549,,0,0
2a06:7600::/29,2635167,2635167,,0,0
2a06:7640::/29,2921044,2921044,,0,0
2a06:7680::/29,798549,798549,,0,0
2a06:76c0::/29,614540,614540,,0,0
2a06:7700::/29,2017370,2017370,,0,0
2a06:7740::/29,2017370,2017370,,0,0
2a06:7780::/29,3175395,3175395,,0,0
2a06:77c0::/29,2782113,2782113,,0,0
2a06:7800::/29,294640,294640,,0,0
2a06:7840::/29,2921044,2921044,,0,0
2a06:7880::/29,2921044,2921044,,0,0
2a06:78c0::/29,2017370,2017370,,0,0
2a06:7900::/29,798549,798549,,0,0
2a06:7940::/29,798549,798549,,0,0
2a06:7980::/29,130758,130758,,0,0
2a06:79c0::/29,2635167,2635167,,0,0
2a06:7a00::/29,6255148,,,0,0
2a06:7a40::/29,2635167,2635167,,0,0
2a06:7a80::/29,3077311,3077311,,0,0
2a06:7ac0::/29,3175395,3175395,,0,0
2a06:7b00::/29,732800,732800,,0,0
2a06:7b40::/29,660013,660013,,0,0
2a06:7b80::/29,2921044,2921044,,0,0
2a06:7bc0::/29,2750405,2750405,,0,0
2a06:7c00::/29,2921044,2921044,,0,0
2a06:7c40::/29,2750405,2750405,,0,0
2a06:7c80::/29,2750405,2750405,,0,0
2a06:7cc0::/29,130758,130758,,0,0
2a06:7d00::/29,2921044,2921044,,0,0
2a06:7d40::/29,2782113,2782113,,0,0
2a06:7d80::/29,3017382,3017382,,0,0
2a06:7dc0::/29,298795,298795,,0,0
2a06:7e00::/29,2635167,2635167,,0,0
2a06:7e40::/29,2750405,2750405,,0,0
2a06:7e80::/29,2017370,2017370,,0,0
2a06:7f00::/29,2623032,2623032,,0,0
2a06:7f40::/29,2750405,2750405,,0,0
2a06:7f80::/29,2921044,2921044,,0,0
2a06:8000::/29,2750405,2750405,,0,0
2a06:8040::/29,3017382,3017382,,0,0
2a06:8080::/29,3077311,3077311,,0,0
2a06:80c0::/29,2623032,2623032,,0,0
2a06:8100::/29,732800,732800,,0,0
2a06:8140::/29,2921044,2921044,,0,0
2a06:8180::/49,2921044,2635167,,0,0
2a06:8180:0:8000::/49,2635167,2635167,,0,0
2a06:8180:1::/48,2635167,2635167,,0,0
2a06:8180:2::/47,2635167,2635167,,0,0
2a06:8180:4::/46,2635167,2635167,,0,0
2a06:8180:8::/45,2635167,2635167,,0,0
2a06:8180:10::/44,2635167,2635167,,0,0
2a06:8180:20::/43,2635167,2635167,,0,0
2a06:8180:40::/42,2635167,2635167,,0,0
2a06:8180:80::/41,2635167,2635167,,0,0
2a06:8180:100::/40,2635167,2635167,,0,0
2a06:8180:200::/39,2635167,2635167,,0,0
